Year,Dec,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov
1950,52,61,55,55,62,73,79,79,78,74,68,53
1951,45,49,50,57,63,70,78,80,80,75,69,53
1952,54,55,52,57,62,73,82,81,80,75,62,56
1953,48,52,53,60,64,77,77,80,78,75,66,55
1954,51,51,55,56,67,68,79,81,82,77,66,55
1955,48,47,52,60,67,74,75,80,80,75,64,55
1956,47,45,57,57,63,73,77,80,79,72,66,54
1957,57,50,56,55,64,71,77,79,78,76,62,58
1958,50,43,43,52,64,71,77,81,80,76,63,60
1959,46,46,54,55,65,73,76,78,78,73,69,57
1960,50,49,49,46,66,72,77,80,80,76,68,58
1961,44,44,52,61,60,69,76,80,78,77,63,59
1962,51,47,56,53,62,75,76,80,79,74,67,54
1963,46,45,45,61,65,71,79,79,80,73,67,57
1964,44,48,47,58,66,73,80,78,79,76,62,60
1965,53,48,51,54,65,75,76,79,79,75,65,57
1966,50,44,49,54,63,70,74,79,80,76,67,56
1967,49,51,48,59,66,71,75,79,78,69,62,53
1968,53,43,41,55,65,71,77,80,80,74,66,53
1969,47,44,45,50,62,69,79,81,76,73,68,53
1970,46,41,49,57,66,72,78,82,80,77,67,54
1971,52,50,50,52,63,71,80,80,79,77,71,57
1972,59,55,49,57,64,69,74,79,80,76,67,57
1973,56,48,46,61,62,71,78,82,81,79,69,62
1974,51,62,52,62,64,74,75,78,79,75,62,55
1975,51,54,55,57,62,74,78,79,81,76,69,59
1976,50,45,56,62,64,70,75,80,77,74,61,51
1977,49,39,46,60,66,72,81,83,81,78,64,61
1978,50,43,43,55,66,72,78,81,81,77,66,63
1979,53,45,46,57,65,72,76,81,81,76,66,59
1980,48,48,46,54,64,71,78,82,81,79,65,55
1981,47,42,51,54,67,71,82,83,80,75,64,55
1982,46,45,51,59,62,72,78,80,80,74,65,61
1983,57,45,49,56,61,71,76,82,82,75,69,58
1984,49,46,53,57,64,72,79,79,81,73,71,54
1985,57,43,50,61,67,73,79,81,80,75,72,67
1986,48,46,55,58,66,74,81,86,79,78,68,63
1987,53,47,49,57,62,73,80,83,83,77,61,60
1988,53,43,49,57,64,71,76,81,81,76,62,61
1989,51,55,55,59,65,72,80,82,80,76,68,61
1990,43,55,59,62,66,74,81,83,82,79,70,60
1991,56,51,55,60,67,76,78,83,81,77,67,56
1992,54,49,55,58,63,70,77,83,80,76,65,60
1993,51,54,50,55,62,72,79,85,81,78,67,59
1994,48,46,53,61,68,71,79,82,80,75,66,62
1995,55,50,50,60,68,76,78,83,82,75,69,54
1996,48,48,52,53,64,74,78,81,78,75,66,54
1997,52,49,55,64,63,69,74,80,79,76,66,55
1998,50,52,54,56,65,75,83,83,81,77,68,62
1999,56,53,53,55,68,70,76,82,83,75,66,60
2000,51,47,51,61,NaN,76,80,81,81,75,65,55
2001,43,46,55,56,65,72,79,79,81,73,65,63
2002,56,51,52,60,70,71,79,82,79,79,70,56
2003,48,45,51,61,64,74,78,81,81,74,67,62
2004,47,46,48,60,65,76,80,82,79,76,69,60
2005,50,51,51,55,63,70,79,84,82,79,68,60
2006,49,54,50,57,68,72,78,82,83,76,65,58
2007,57,53,50,61,64,72,79,81,84,78,72,58
2008,57,49,56,59,65,72,81,81,81,76,65,55
2009,56,48,50,58,65,74,81,81,82,77,68,59
2010,51,45,46,56,67,76,84,83,84,79,69,58
2011,43,45,55,60,69,75,83,84,83,77,65,60
2012,55,53,56,66,67,75,76,84,81,77,67,54
2013,56,55,52,53,66,72,80,82,82,77,69,57
2014,57,46,54,55,68,76,82,83,83,79,70,55
2015,53,49,46,60,68,74,83,84,82,78,68,63
2016,64,48,52,65,66,74,83,86,84,80,70,60
2017,55,57,60,59,70,75,79,82,82,78,70,58
2018,52,46,62,57,64,76,82,83,83,82,72,58
2019,53,51,59,58,,,,,,,,
