,Month,Period,Average Temperature
0,Dec,1950-1978,50.0
1,Jan,1950-1978,48.2
2,Feb,1950-1978,50.2
3,March,1950-1978,56.5
4,April,1950-1978,64.1
5,May,1950-1978,71.9
6,June,1950-1978,77.3
7,July,1950-1978,79.9
8,Aug,1950-1978,79.3
9,Sept,1950-1978,75.2
10,Oct,1950-1978,65.7
11,Nov,1950-1978,56.4
12,Dec,1981-2018,51.9
13,Jan,1981-2018,48.8
14,Feb,1981-2018,52.5
15,March,1981-2018,58.4
16,April,1981-2018,65.6
17,May,1981-2018,73.1
18,June,1981-2018,79.5
19,July,1981-2018,82.3
20,Aug,1981-2018,81.3
21,Sept,1981-2018,76.6
22,Oct,1981-2018,67.5
23,Nov,1981-2018,58.7
